LecturerID,LecturerName
1,Academind by Maximilian Schwarzmüller
2,Maximilian Schwarzmüller
3,Dr. Angela Yu
4,Stephen Grider
5,Paulo Dichone
6,Andrea Bizzotto
7,Marcus Ng
8,Lutfor Rahman
9,Rob Percival
10,Marc Stock
11,Codestars by Rob Percival
12,Nick Walter
13,Tim Buchalka
14,Jean-Paul Roberts
15,Philipp Muellauer
16,Morteza Kordi
17,Jonas Schmedtmann
18,Anthony Alicea
19,Brad Traversy
20,Andrew Mead
21,Andrei Neagoie
22,Colt Steele
23,Brad Schiff
24,Manuel Lorenz
25,Brad Hussey
26,Code College
27,Florin Pop
